muestras,anio,fecha,hora_inicio,hora_fin,dema_int,dem_inst,aniomovil
375,2017,16-sep,14,15,6466.890296,6492.978516,1
376,2017,16-sep,15,16,6463.492623,6436.917969,1
377,2017,16-sep,16,17,6433.947588,6442.897461,1
378,2017,16-sep,17,18,6390.776775,6493.437012,1
379,2017,16-sep,18,19,6375.071418,6412.222656,1
380,2017,16-sep,19,20,6473.779731,6387.389648,1
381,2017,16-sep,20,21,7115.338631,6876.235352,1
382,2017,16-sep,21,22,7047.710761,7144.023926,1
383,2017,16-sep,22,23,6817.698574,6980.022461,1
384,2017,16-sep,23,24,6402.312427,6672.716797,1
385,2017,17-sep,0,1,5986.856082,6258.37207,1
386,2017,17-sep,1,2,5673.317443,5830.622559,1
387,2017,17-sep,2,3,5501.257939,5543.400879,1
388,2017,17-sep,3,4,5448.86321,5415.124023,1
389,2017,17-sep,4,5,5386.222425,5385.499512,1
390,2017,17-sep,5,6,5393.06174,5347.830566,1
391,2017,17-sep,6,7,5494.804611,5408.979492,1
392,2017,17-sep,7,8,5673.942778,5617.628418,1
393,2017,17-sep,8,9,5766.884006,5681.270508,1
394,2017,17-sep,9,10,5954.588945,5936.96875,1
395,2017,17-sep,10,11,6187.521181,5987.963867,1
396,2017,17-sep,11,12,6343.817198,6189.038086,1
397,2017,17-sep,12,13,6447.379593,6404.546875,1
398,2017,17-sep,13,14,6489.496228,6475.304688,1
399,2017,17-sep,14,15,6514.243003,6562.702148,1
400,2017,17-sep,15,16,6501.16824,6493.996094,1
401,2017,17-sep,16,17,6440.879537,6488.905273,1
402,2017,17-sep,17,18,6393.442423,6471.719727,1
403,2017,17-sep,18,19,6423.134159,6441.692383,1
404,2017,17-sep,19,20,6688.542004,6536.777344,1
405,2017,17-sep,20,21,7224.591726,6950.073242,1
406,2017,17-sep,21,22,7216.095493,7127.12207,1
407,2017,17-sep,22,23,6977.149821,7161.938965,1
408,2017,17-sep,23,24,6523.205005,6792.760742,1
409,2017,18-sep,0,1,6110.912726,6387.572754,1
410,2017,18-sep,1,2,5820.395226,6014.478516,1
411,2017,18-sep,2,3,5769.983266,5733.445313,1
412,2017,18-sep,3,4,5786.188117,5864.305176,1
413,2017,18-sep,4,5,5820.230921,5668.164063,1
414,2017,18-sep,5,6,6008.786595,5775.56543,1
415,2017,18-sep,6,7,6580.724422,6154.441406,1
416,2017,18-sep,7,8,7252.223347,6953.833496,1
417,2017,18-sep,8,9,7559.274876,7348.587891,1
